"","street","zipcode","price","PublishedDate","buildKind","ConstructionYear","LivingArea","ExStorage","LotArea","Volume","Rooms","Bathrooms","Levels","EnergyLable","Insulation","Heating","Location","Garden","GardenArea","GardenAim","Storage"
"1","
        
              Mackayware 44
        
            ","
            8014 RW Zwolle

        ","
    € 275.000 kosten koper
        
            
        
","15-5-2021","
    Bestaande bouw
","
    1982
        
            
        
","
    110 m²
","
    9 m²
,
    7 m²
","
    150 m²
","
    150 m²
,
    342 m³
","
    5 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    3 woonlagen
","
        B
        
             Wat betekent dit?
","
    Dakisolatie, grotendeels dubbelglas, muurisolatie en vloerisolatie
","
    Cv-ketel
","
    Beschutte ligging, in woonwijk en vrij uitzicht
","
    Achtertuin en voortuin
","
    72 m² (12 meter diep en 6 meter breed)
","
    Gelegen op het noorden bereikbaar via achterom
","
    Aangebouwde stenen berging
"
"2","
        
              Mackayware 122
        
            ","
            8014 RZ Zwolle

        ","
    € 247.500 kosten koper
        
            
        
","14-5-2021","
    Bestaande bouw
","
    1982
        
            
        
","
    103 m²
","
    8 m²
","
    155 m²
","
    155 m²
,
    382 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen en een zolder
","
        C
        
             Wat betekent dit?
","
    Dakisolatie, gedeeltelijk dubbel glas, muurisolatie en vloerisolatie
","
    Cv-ketel
","
    In woonwijk
","
    Achtertuin en voortuin
","
    78 m² (13 meter diep en 6 meter breed)
","
    Gelegen op het noordwesten bereikbaar via achterom
","
    Aangebouwde stenen berging
"
"3","
        
              Orduynenstraat 96
        
            ","
            5231 NR Den Bosch

        ","
    € 389.000 kosten koper
        
            
        
","14-5-2021","
    Bestaande bouw
","
    1962
        
            
        
","
    117 m²
","
    9 m²
","
    120 m²
","
    120 m²
,
    400 m³
","
    5 kamers (4 slaapkamers)
","
    1 badkamer en 2 aparte toiletten
","
    3 woonlagen
","
        B
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie en vloerisolatie
","
    Cv-ketel en gedeeltelijke vloerverwarming
","
    Aan rustige weg, in woonwijk en vrij uitzicht
","
    Achtertuin
","
    56 m² (9,5 meter diep en 5,85 meter breed)
","
    Gelegen op het oosten bereikbaar via achterom
","
    Vrijstaande stenen berging
"
"4","
        
              Boekelstraat 33
        
            ","
            5043 WL Tilburg

        ","
    € 275.000 kosten koper
        
            
        
","15-5-2021","
    Bestaande bouw
","
    1987
        
            
        
","
    71 m²
","
    7 m²
","
    265 m²
","
    265 m²
,
    275 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Stadsverwarming
","
    In woonwijk
","
    Achtertuin en voortuin
","
    112 m² (13 meter diep en 8,6 meter breed)
","
    Gelegen op het noordwesten
","
    Vrijstaande houten berging
"
"5","
        
              Bredaseweg 252
        
            ","
            5038 NM Tilburg

        ","
    € 500.000 kosten koper
        
            
        
","14-5-2021","
    Bestaande bouw
","
    1906
        
            
        
","
    149 m²
","
    18 m²
","
    139 m²
","
    139 m²
,
    574 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 2 aparte toiletten
","
    3 woonlagen
","
        C
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Cv-ketel, houtkachel en gedeeltelijke vloerverwarming
","
    In centrum
","
    Achtertuin
","
    45 m² (9,03 meter diep en 4,95 meter breed)
","
    Gelegen op het zuiden bereikbaar via achterom
","
    Vrijstaande stenen garage
"
"6","
        
              Mathijsenstraat 42
        
            ","
            2035 CN Haarlem

        ","
    € 365.000 kosten koper
        
            
        
","15-5-2021","
    Bestaande bouw
","
    1964
        
            
        
","
    109 m²
","","
    156 m²
","
    156 m²
,
    406 m³
","
    5 kamers (4 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen en een vliering
","
        D
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel en open haard
","
    Achtertuin en voortuin
","
    60 m² (10,08 meter diep en 6 meter breed)
","
    Gelegen op het westen bereikbaar via achterom
",NA,"
    Vrijstaande houten berging
"
"7","
        
              Bredaseweg 252
        
            ","
            5038 NM Tilburg

        ","
    € 500.000 kosten koper
        
            
        
","15-5-2021","
    Bestaande bouw
","
    1906
        
            
        
","
    149 m²
","
    18 m²
","
    104 m²
","
    104 m²
,
    574 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 2 aparte toiletten
","
    3 woonlagen
","
        C
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Cv-ketel, houtkachel en gedeeltelijke vloerverwarming
","
    In woonwijk
","
    Achtertuin
","
    45 m² (9,03 meter diep en 4,95 meter breed)
","
    Gelegen op het zuiden bereikbaar via achterom
","
    Vrijstaande stenen garage
"
"8","
        
              Hof ter Weydeweg 2
        
            ","
            3451 ST Vleuten

        ","
    € 1.395.000 kosten koper
        
            
        
","14-5-2021","
    Bestaande bouw
","
    2015
        
            
        
","
    338 m²
","
    38 m²
,
    120 m²
,
    129 m²
","
    3.520 m²
","
    3.520 m²
,
    1.362 m³
","
    6 kamers (4 slaapkamers)
","
    4 badkamers en 1 apart toilet
","
    2 woonlagen en een kelder
","
        A++
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Cv-ketel en gehele vloerverwarming
","
    Aan rustige weg, beschutte ligging en vrij uitzicht
","
    Tuin rondom
","
    Dakterras aanwezig
",NA,"
    Aangebouwde stenen berging
"
"9","
        
              Kanaalweg 90
        
            ","
            3533 HG Utrecht

        ","
    € 1.150.000 kosten koper
        
            
        
","14-5-2021","
    Bestaande bouw
","
    1920
        
            
        
","
    159 m²
","
    11 m²
,
    6 m²
","
    1.260 m²
","
    1.260 m²
,
    667 m³
","
    9 kamers (6 slaapkamers)
","
    3 badkamers en 2 aparte toiletten
","
    4 woonlagen, een vliering en een kelder
","
Niet verplicht","
    Driedubbel glas en dubbel glas
","
    Cv-ketel, houtkachel en gedeeltelijke vloerverwarming
","
    Aan park, aan rustige weg, aan vaarwater, aan water, beschutte ligging, open ligging en vrij uitzicht
","
    Tuin rondom
",NA,NA,"
    Vrijstaande houten berging
"
"10","
        
              Watersniphof 27
        
            ","
            4332 CP Middelburg

        ","
    € 395.000 kosten koper
        
            
        
","12-5-2021","
    Bestaande bouw
","
    2002
        
            
        
","
    146 m²
","
    16 m²
,
    24 m²
","
    142 m²
","
    142 m²
,
    521 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    3 woonlagen
","
        A
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Cv-ketel en gaskachels
","
    In woonwijk
","
    Achtertuin
","
    61 m² (11 meter diep en 5,5 meter breed)
","
    Gelegen op het noordoosten bereikbaar via achterom
","
    Vrijstaande houten berging
"
