"","street","zipcode","City","price","PublishedDate","buildKind","ConstructionYear","LivingArea","LotArea","Volume","Rooms","Bedrooms","Bathrooms","EnergyLable","Garden","GardenArea","Depth","Width","GardenAim","Storage","ExStor_TOT","PricePerM2","CityAmersfoort","CityAmsterdam","CityDen.Bosch","CityDen.Haag","CityEindhoven","CityGroningen","CityHaarlem","CityMiddelburg","CityRotterdam","CityTilburg","CityUtrecht","CityZwolle","buildKindBestaande.bouw","buildKindNieuwbouw","EnergyLableA","EnergyLableB","EnergyLableC","EnergyLableD","EnergyLableE","EnergyLableF","EnergyLableG","Gardengarden","Gardenpatio","Gardenterras.balkon","GardenAimEast","GardenAimNorth","GardenAimOther","GardenAimSouth","GardenAimWest","Storageindoor","Storageoutdoor","Total_reported","Hospital_admission","Deceased"
"1","Morgenroodstraat 30","5641 HD","Eindhoven",315000,2021-05-12,"Bestaande bouw","1972",90,132,349,4,3,1,"C","garden",50,9,5.5,"West","outdoor",37,3500,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,104,0,0
"2","Korianderstraat 2","1104 HR","Amsterdam",4e+05,2021-05-13,"Bestaande bouw","2010",109,153,399,4,3,1,"A","garden",52,10.3,6.1,"North","outdoor",7,3669.7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,114,0,1
"3","Korianderstraat 2","1104 HR","Amsterdam",4e+05,2021-05-13,"Bestaande bouw","2010",109,153,399,4,3,1,"A","garden",52,10.3,6.1,"North","outdoor",7,3669.7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,59,0,0
"4","Pesetalaan 51","1060 SC","Amsterdam",435000,2021-05-12,"Bestaande bouw","1998",101,97,341,4,3,1,"A","garden",47,10.2,4.57,"South","outdoor",5,4306.9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,181,2,2
"5","Pesetalaan 51","1060 SC","Amsterdam",435000,2021-05-12,"Bestaande bouw","1998",101,97,341,4,3,1,"A","garden",47,10.2,4.57,"South","outdoor",5,4306.9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,97,3,0
"6","Termietergouw 6 A","1027 AD","Amsterdam",950000,2021-05-12,"Bestaande bouw","2006",128,470,445,5,4,1,"A","NoGarden",0,0,0,"NoGarden","outdoor",33,7421.9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181,2,2
"7","Termietergouw 6 A","1027 AD","Amsterdam",950000,2021-05-12,"Bestaande bouw","2006",128,470,445,5,4,1,"A","NoGarden",0,0,0,"NoGarden","outdoor",33,7421.9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,3,0
"8","Kelbergen 156","1104 LH","Amsterdam",325000,2021-05-12,"Bestaande bouw","1972",92,136,305,4,3,1,"C","garden",47,10.5,4.5,"South","outdoor",8,3532.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,181,2,2
"9","Kelbergen 156","1104 LH","Amsterdam",325000,2021-05-12,"Bestaande bouw","1972",92,136,305,4,3,1,"C","garden",47,10.5,4.5,"South","outdoor",8,3532.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,97,3,0
"10","Oscar Wildestraat 39","9746 AR","Groningen",375000,2021-05-12,"Bestaande bouw","1996",139,213,479,4,3,1,"B","garden",80,8,10,"South","indoor",11,2697.8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,61,0,0
